id,unit,year,semester,campus,aspect_type,aspect,strong_agree,agree,neutral,disagree,strong_disagree,mean,median
32,FIT1045,2022,S2,CL,U,6,43,38,14,9,5,3.96,4.2
33,FIT1045,2022,S2,CL,U,7,51,37,13,5,2,4.2,4.42
34,FIT1045,2022,S2,CL,U,8,38,36,14,14,7,3.77,4.04
35,FIT1045,2022,S2,CL,F,1,43,49,11,3,2,4.19,4.28
36,FIT1045,2022,S2,CL,F,2,43,37,11,14,3,3.95,4.2
37,FIT1045,2022,S2,CL,F,3,28,37,14,17,13,3.46,3.78
38,FIT1045,2022,S2,CL,F,4,44,38,16,5,4,4.06,4.25
39,FIT1045,2022,S2,CL,F,5,46,41,10,6,5,4.08,4.3
40,FIT1045,2022,S1,CL,U,1,121,138,28,12,3,4.2,4.28
41,FIT1045,2022,S1,CL,U,2,95,117,59,22,9,3.88,4.02
42,FIT1045,2022,S1,CL,U,3,111,136,31,15,5,4.12,4.22
43,FIT1045,2022,S1,CL,U,4,89,116,66,21,9,3.85,3.97
44,FIT1045,2022,S1,CL,U,5,104,120,54,18,6,3.99,4.11
45,FIT1045,2022,S1,CL,U,6,118,134,30,10,5,4.18,4.27
46,FIT1045,2022,S1,CL,U,7,123,133,33,8,4,4.21,4.29
47,FIT1045,2022,S1,CL,U,8,104,115,58,14,11,3.95,4.09
48,FIT1045,2022,S1,CL,F,1,130,140,25,2,1,4.33,4.36
49,FIT1045,2022,S1,CL,F,2,121,109,58,8,6,4.1,4.22
50,FIT1045,2022,S1,CL,F,3,80,106,63,38,13,3.67,3.84
51,FIT1045,2022,S1,CL,F,4,108,128,47,14,4,4.07,4.17
52,FIT1045,2022,S1,CL,F,5,132,117,40,9,4,4.21,4.34
53,FIT1045,2021,S2,CL,U,1,25,52,9,3,1,4.08,4.12
54,FIT1045,2021,S2,CL,U,2,31,41,9,8,1,4.03,4.16
55,FIT1045,2021,S2,CL,U,3,34,38,16,1,1,4.14,4.21
56,FIT1045,2021,S2,CL,U,4,24,40,21,3,2,3.9,3.98
57,FIT1045,2021,S2,CL,U,5,23,41,13,9,2,3.84,3.99
58,FIT1045,2021,S2,CL,U,6,30,41,11,5,2,4.03,4.15
59,FIT1045,2021,S2,CL,U,7,37,40,5,5,1,4.22,4.33
60,FIT1045,2021,S2,CL,U,8,29,35,18,4,4,3.9,4.04
61,FIT1045,2021,S2,CL,F,1,34,40,9,4,2,4.12,4.24
62,FIT1045,2021,S2,CL,F,2,23,37,20,6,3,3.8,3.92
63,FIT1045,2021,S2,CL,F,3,22,29,20,11,8,3.51,3.71
64,FIT1045,2021,S2,CL,F,4,30,38,17,2,3,4,4.11
65,FIT1045,2021,S2,CL,F,5,14,32,30,9,3,3.51,3.56
66,FIT1045,2021,S1,CL,U,1,74,119,59,22,10,3.79,3.93
67,FIT1045,2021,S1,CL,U,2,70,115,59,27,14,3.7,3.87
68,FIT1045,2021,S1,CL,U,3,73,131,50,19,10,3.84,3.98
69,FIT1045,2021,S1,CL,U,4,56,87,86,32,20,3.45,3.53
70,FIT1045,2021,S1,CL,U,5,63,100,82,23,15,3.61,3.72
71,FIT1045,2021,S1,CL,U,6,79,115,64,17,6,3.87,3.97
72,FIT1045,2021,S1,CL,U,7,124,104,47,5,5,4.18,4.32
73,FIT1045,2021,S1,CL,U,8,62,109,61,27,23,3.57,3.78
74,FIT1045,2021,S1,CL,F,1,88,129,46,11,3,4.04,4.11
75,FIT1045,2021,S1,CL,F,2,73,99,71,26,13,3.68,3.81
76,FIT1045,2021,S1,CL,F,3,57,100,66,33,28,3.44,3.65
77,FIT1045,2021,S1,CL,F,4,108,106,45,15,9,4.02,4.18
78,FIT1045,2021,S1,CL,F,5,53,78,85,39,21,3.37,3.42
79,FIT1045,2020,S2,CL,U,1,64,68,22,7,3,4.12,4.24
80,FIT1045,2020,S2,CL,U,2,50,57,34,14,10,3.75,3.93
81,FIT1045,2020,S2,CL,U,3,60,59,33,7,4,4.01,4.14
82,FIT1045,2020,S2,CL,U,4,49,52,43,10,9,3.75,3.88
83,FIT1045,2020,S2,CL,U,5,55,65,29,9,7,3.92,4.08
84,FIT1045,2020,S2,CL,U,6,64,59,32,4,3,4.09,4.21
85,FIT1045,2020,S2,CL,U,7,82,60,18,3,2,4.32,4.49
86,FIT1045,2020,S2,CL,U,8,53,69,26,10,7,3.92,4.07
87,FIT1045,2020,S2,CL,F,1,59,78,19,5,3,4.13,4.21
88,FIT1045,2020,S2,CL,F,2,49,63,34,11,7,3.83,3.98
89,FIT1045,2020,S2,CL,F,3,48,49,40,15,12,3.65,3.81
90,FIT1045,2020,S2,CL,F,4,67,65,24,1,5,4.16,4.28
91,FIT1045,2020,S2,CL,F,5,42,55,43,8,9,3.72,3.84
92,FIT1045,2020,S1,CL,U,1,73,140,59,15,5,3.89,3.98
93,FIT1045,2020,S1,CL,U,2,76,116,55,41,6,3.73,3.89
94,FIT1045,2020,S1,CL,U,3,95,133,45,16,4,4.02,4.11
95,FIT1045,2020,S1,CL,U,4,60,119,69,30,12,3.64,3.79
96,FIT1045,2020,S1,CL,U,5,82,122,63,20,6,3.87,3.97
97,FIT1045,2020,S1,CL,U,6,90,137,45,16,4,4,4.09
98,FIT1045,2020,S1,CL,U,7,129,113,41,7,2,4.23,4.35
99,FIT1045,2020,S1,CL,U,8,84,129,53,21,7,3.89,4.01
100,FIT1045,2020,S1,CL,F,1,91,149,36,15,0,4.09,4.13
101,FIT1045,2020,S1,CL,F,2,80,119,63,22,7,3.84,3.95
102,FIT1045,2020,S1,CL,F,3,62,108,68,45,10,3.57,3.72
103,FIT1045,2020,S1,CL,F,4,84,125,53,20,6,3.91,4.02
104,FIT1045,2020,S1,CL,F,5,42,83,111,42,7,3.39,3.34
105,FIT1045,2019,S2,CL,U,1,49,61,21,2,5,4.07,4.17
106,FIT1045,2019,S2,CL,U,2,45,57,27,7,3,3.96,4.07
107,FIT1045,2019,S2,CL,U,3,55,58,13,7,6,4.07,4.25
108,FIT1045,2019,S2,CL,U,4,34,50,37,13,5,3.68,3.76
109,FIT1045,2019,S2,CL,U,5,38,48,37,10,5,3.75,3.85
110,FIT1045,2019,S2,CL,U,6,44,63,21,7,4,3.98,4.1
111,FIT1045,2019,S2,CL,U,7,63,55,15,4,2,4.24,4.38
112,FIT1045,2019,S2,CL,U,8,40,63,19,8,9,3.84,4.03
113,FIT1045,2019,S2,CL,F,1,48,69,19,3,1,4.14,4.18
114,FIT1045,2019,S2,CL,F,2,31,55,34,16,2,3.7,3.81
115,FIT1045,2019,S2,CL,F,3,28,58,27,13,13,3.54,3.78
116,FIT1045,2019,S2,CL,F,4,43,65,20,7,4,3.98,4.09
117,FIT1045,2019,S2,CL,F,5,20,36,51,11,4,3.47,3.4
118,FIT1045,2019,S1,CL,U,1,68,167,66,26,11,3.75,3.9
119,FIT1045,2019,S1,CL,U,2,82,146,67,31,12,3.75,3.9
120,FIT1045,2019,S1,CL,U,3,85,170,50,19,13,3.88,4.01
121,FIT1045,2019,S1,CL,U,4,55,120,100,39,22,3.44,3.56
122,FIT1045,2019,S1,CL,U,5,64,120,90,44,16,3.51,3.64
123,FIT1045,2019,S1,CL,U,6,83,160,61,25,8,3.85,3.97
124,FIT1045,2019,S1,CL,U,7,130,147,41,11,10,4.11,4.23
125,FIT1045,2019,S1,CL,U,8,71,139,72,30,26,3.59,3.79
126,FIT1045,2019,S1,CL,F,1,96,175,49,14,4,4.02,4.08
127,FIT1045,2019,S1,CL,F,2,62,114,101,43,14,3.5,3.58
128,FIT1045,2019,S1,CL,F,3,67,114,75,47,34,3.39,3.61
129,FIT1045,2019,S1,CL,F,4,110,155,44,17,12,3.99,4.12
130,FIT1045,2019,S1,CL,F,5,29,90,112,51,17,3.21,3.23
131,FIT1045,2018,S2,CL,U,1,26,33,18,17,6,3.56,3.77
132,FIT1045,2018,S2,CL,U,2,17,27,18,19,19,3.04,3.17
133,FIT1045,2018,S2,CL,U,3,21,40,23,8,7,3.61,3.79
134,FIT1045,2018,S2,CL,U,4,20,34,20,15,11,3.37,3.62
135,FIT1045,2018,S2,CL,U,5,22,40,18,11,8,3.58,3.81
136,FIT1045,2018,S2,CL,U,6,21,47,21,3,8,3.7,3.88
137,FIT1045,2018,S2,CL,U,7,42,36,19,1,2,4.15,4.28
138,FIT1045,2018,S2,CL,U,8,16,35,17,17,14,3.22,3.54
139,FIT1045,2018,S2,CL,F,1,26,50,18,3,2,3.96,4.03
140,FIT1045,2018,S2,CL,F,2,21,40,22,9,7,3.6,3.79
141,FIT1045,2018,S2,CL,F,3,26,36,20,8,10,3.6,3.83
142,FIT1045,2018,S2,CL,F,4,23,50,15,9,3,3.81,3.96
143,FIT1045,2018,S2,CL,F,5,15,19,37,20,5,3.2,3.08
144,FIT1045,2018,S1,CL,U,1,43,94,27,17,7,3.79,3.96
145,FIT1045,2018,S1,CL,U,2,50,75,32,20,11,3.71,3.91
146,FIT1045,2018,S1,CL,U,3,45,89,31,17,6,3.8,3.95
147,FIT1045,2018,S1,CL,U,4,30,73,45,26,12,3.45,3.64
148,FIT1045,2018,S1,CL,U,5,40,75,35,26,11,3.57,3.79
149,FIT1045,2018,S1,CL,U,6,48,80,31,17,11,3.73,3.93
150,FIT1045,2018,S1,CL,U,7,60,89,30,4,5,4.04,4.12
151,FIT1045,2018,S1,CL,U,8,33,81,37,16,20,3.49,3.75
152,FIT1045,2018,S1,CL,F,1,52,101,21,7,6,3.99,4.09
153,FIT1045,2018,S1,CL,F,2,35,74,52,14,8,3.62,3.71
154,FIT1045,2018,S1,CL,F,3,23,71,44,29,21,3.24,3.5
155,FIT1045,2018,S1,CL,F,4,45,76,33,15,18,3.61,3.86
156,FIT1045,2018,S1,CL,F,5,17,51,74,22,12,3.22,3.15
157,FIT1045,2017,S2,CL,U,1,15,39,8,4,4,3.81,3.99
158,FIT1045,2017,S2,CL,U,2,10,27,16,8,10,3.27,3.56
159,FIT1045,2017,S2,CL,U,3,8,33,13,10,7,3.35,3.67
160,FIT1045,2017,S2,CL,U,4,8,28,15,12,6,3.29,3.55
161,FIT1045,2017,S2,CL,U,5,7,31,21,6,5,3.41,3.6
162,FIT1045,2017,S2,CL,U,6,15,33,12,4,6,3.67,3.89
163,FIT1045,2017,S2,CL,U,7,22,33,14,0,2,4.03,4.09
164,FIT1045,2017,S2,CL,U,8,9,21,21,12,8,3.15,3.24
165,FIT1045,2017,S2,CL,F,1,12,41,13,4,0,3.87,3.94
166,FIT1045,2017,S2,CL,F,2,7,30,21,10,2,3.43,3.57
167,FIT1045,2017,S2,CL,F,3,7,23,14,17,9,3.03,3.14
168,FIT1045,2017,S2,CL,F,4,18,34,8,5,4,3.83,4.01
169,FIT1045,2017,S2,CL,F,5,3,21,26,8,4,3.18,3.08
170,FIT1045,2017,S1,CL,U,1,39,112,43,26,4,3.7,3.85
171,FIT1045,2017,S1,CL,U,2,76,88,40,15,6,3.95,4.09
172,FIT1045,2017,S1,CL,U,3,63,99,43,13,7,3.88,4
173,FIT1045,2017,S1,CL,U,4,41,67,71,20,17,3.44,3.5
174,FIT1045,2017,S1,CL,U,5,38,78,66,23,14,3.47,3.58
175,FIT1045,2017,S1,CL,U,6,49,105,36,20,8,3.77,3.93
176,FIT1045,2017,S1,CL,U,7,90,91,32,9,3,4.14,4.25
177,FIT1045,2017,S1,CL,U,8,46,85,51,20,23,3.49,3.72
178,FIT1045,2017,S1,CL,F,1,56,126,23,17,5,3.93,4.04
179,FIT1045,2017,S1,CL,F,2,36,65,77,32,12,3.36,3.34
180,FIT1045,2017,S1,CL,F,3,54,76,49,32,15,3.54,3.72
181,FIT1045,2017,S1,CL,F,4,55,98,36,22,13,3.71,3.91
182,FIT1045,2017,S1,CL,F,5,14,65,78,46,13,3.1,3.06
183,FIT1045,2016,S2,CL,U,1,19,30,7,3,0,4.1,4.15
184,FIT1045,2016,S2,CL,U,2,19,24,10,5,1,3.93,4.06
185,FIT1045,2016,S2,CL,U,3,22,23,8,5,1,4.02,4.17
186,FIT1045,2016,S2,CL,U,4,8,24,18,9,0,3.53,3.6
187,FIT1045,2016,S2,CL,U,5,12,24,16,4,3,3.64,3.77
188,FIT1045,2016,S2,CL,U,6,16,23,13,5,2,3.78,3.91
189,FIT1045,2016,S2,CL,U,7,24,22,10,3,0,4.14,4.25
190,FIT1045,2016,S2,CL,U,8,17,23,11,6,2,3.8,3.96
191,FIT1045,2016,S2,CL,F,1,22,28,7,2,0,4.19,4.23
192,FIT1045,2016,S2,CL,F,2,12,29,10,6,1,3.78,3.91
193,FIT1045,2016,S2,CL,F,3,21,24,11,2,1,4.05,4.15
194,FIT1045,2016,S2,CL,F,4,20,15,16,4,4,3.73,3.87
195,FIT1045,2016,S2,CL,F,5,13,13,20,9,1,3.5,3.4
196,FIT1045,2016,S1,CL,U,1,39,70,26,16,4,3.8,3.95
197,FIT1045,2016,S1,CL,U,2,50,56,29,15,7,3.81,3.99
198,FIT1045,2016,S1,CL,U,3,40,71,22,11,6,3.85,4.01
199,FIT1045,2016,S1,CL,U,4,27,52,50,12,7,3.54,3.6
200,FIT1045,2016,S1,CL,U,5,32,62,36,14,8,3.63,3.79
201,FIT1045,2016,S1,CL,U,6,41,65,28,10,9,3.78,3.95
202,FIT1045,2016,S1,CL,U,7,58,66,22,5,6,4.05,4.19
203,FIT1045,2016,S1,CL,U,8,37,63,28,17,10,3.65,3.86
204,FIT1045,2016,S1,CL,F,1,56,64,27,6,2,4.07,4.16
205,FIT1045,2016,S1,CL,F,2,30,68,37,14,3,3.71,3.82
206,FIT1045,2016,S1,CL,F,3,53,70,20,9,3,4.04,4.15
207,FIT1045,2016,S1,CL,F,4,53,60,22,9,11,3.87,4.09
208,FIT1045,2016,S1,CL,F,5,22,47,54,11,6,3.49,3.48
